38 53 12 11 28 433 10076 73 44 15860 11 535 30 12 104 7|27 185 22 100 6567 288
27 185 22 100 6567 288|15 120 51 44 12029 262 10 1
15 120 51 44 12029 262 10 1|28 566 11 100 6567 288 7
28 566 11 100 6567 288 7|483 73 4 2048 9 1289 16 154
483 73 4 2048 9 1289 16 154|53 28 185 11 100 6567 288 21 216 16 119 15860 7
53 28 185 11 100 6567 288 21 216 16 119 15860 7|1 15860 22 27 382
1 15860 22 27 382|12 41 37 27 734
12 41 37 27 734|5 85 205 4 1560
5 85 205 4 1560|12 41 28 324 9 10410 88 9 100 7800
12 41 28 324 9 10410 88 9 100 7800|53 51 2057 110 4 2048 20 14
53 51 2057 110 4 2048 20 14|24 118 111 30 978 88 284
24 118 111 30 978 88 284|251 9 74
4 43 372 281 14|15 4 69 29 334
15 4 69 29 334|4 69 3802 10 2017 200 27 12646 2025
4 69 3802 10 2017 200 27 12646 2025|1751 25 1 9 119 70 199 995
1751 25 1 9 119 70 199 995|4 143 1 41 35 650 9 29 6850
4 143 1 41 35 650 9 29 6850|5 149 9 29 6850 14
5 149 9 29 6850 14|25 53 4 2495 20 56
25 53 4 2495 20 56|5 69 1527 28 12174 3685 9 6 7113 14
5 69 1527 28 12174 3685 9 6 7113 14|28 12389 1009 1 6 5799 4421 3303 9 29 309 1
